keyword,cluster,intent,priority,target_page,added,note
מיתוג עסקי,money,commercial,P1,business-branding-guide.html,2026-08-24,המונח המסחרי הראשי
בניית מותג,money,commercial,P1,brand-world.html,2026-08-24,
אסטרטגיית מותג,money,commercial,P1,method.html,2026-08-24,
יועצת מיתוג,money,commercial,P1,contact.html,2026-08-24,גם how-to-choose-brand-strategist
אסטרטגית מותג,money,commercial,P1,about.html,2026-08-24,
סטודיו למיתוג,money,commercial,P1,studio.html,2026-08-24,
משרד מיתוג,money,commercial,P2,studio.html,2026-08-24,
מיתוג יוקרה,money,commercial,P1,luxury-branding.html,2026-08-24,גם brand-worlds-museum
מיתוג עם בינה מלאכותית,money,commercial,P1,brandos-custom.html,2026-08-24,
מיתוג לעסקים קטנים,money,commercial,P1,business-branding-guide.html,2026-08-24,
כמה עולה מיתוג,money,commercial,P1,branding-cost-guide.html,2026-08-24,בלי מחירים בעמוד
מיתוג מחדש,money,commercial,P1,rebranding-guide.html,2026-08-24,
ריברנדינג,money,commercial,P2,rebranding-guide.html,2026-08-24,
שפה מותגית,money,commercial,P2,brand-architecture.html,2026-08-24,
זהות מותגית,money,commercial,P2,business-branding-guide.html,2026-09-05,
עיצוב מותג,money,commercial,P2,what-is-brand-design.html,2026-09-05,
בניית אתר תדמית,web,commercial,P1,digital-ecosystems.html,2026-08-24,
בניית אתרים לעסקים,web,commercial,P1,digital-ecosystems.html,2026-08-30,
אתר פרימיום,web,commercial,P2,premium-website.html,2026-08-30,
בניית אתר איקומרס,web,commercial,P2,ecommerce-website-branding.html,2026-08-30,
מיתוג לחנות אונליין,web,commercial,P2,online-store-branding.html,2026-08-30,
עיצוב UI UX,web,commercial,P3,brand-driven-ui-ux.html,2026-08-30,
שם למותג,money,informational,P2,brand-naming-guide.html,2026-09-03,
ניימינג,money,informational,P2,brand-naming-guide.html,2026-09-03,
סטוריטלינג למותג,money,informational,P2,vision-story.html,2026-09-03,
נכס דיגיטלי,money,informational,P3,owned-digital-assets.html,2026-08-04,
עולם מותג,worlds,brand-concept,P1,brand-world.html,2026-05-14,המונח שלנו; גם why-i-build-worlds
מיתוג מאפייה,worlds,commercial,P1,brand-world-story-petale.html,2026-09-05,סיפורי עולמות No.01
מיתוג קונדיטוריה,worlds,commercial,P1,brand-world-story-petale.html,2026-09-05,
מיתוג התפריט,worlds,informational,P3,brand-world-story-petale.html,2026-09-05,
מיתוג שוקולד,worlds,commercial,P2,melte.html,2026-09-05,סיפורי עולמות No.02 (מתוכנן)
מיתוג מותג טיפוח,worlds,commercial,P2,rosee/,2026-09-05,סיפורי עולמות No.03 (מתוכנן)
מיתוג קוסמטיקה,worlds,commercial,P2,elvea/,2026-09-05,סיפורי עולמות No.04 (מתוכנן)
מיתוג מותג יופי,worlds,commercial,P3,lusha.html,2026-09-05,סיפורי עולמות No.05 (מתוכנן)
מיתוג בית קפה,worlds,commercial,P3,crema.html,2026-09-05,
מיתוג בושם,worlds,commercial,P3,aerea.html,2026-09-05,
מיתוג משקפיים,worlds,commercial,P3,regard/,2026-09-05,
מיתוג לעסק קולינרי,worlds,commercial,P3,brand-world-story-petale.html,2026-09-05,
GEO,ai-geo,informational,P1,geo-for-business.html,2026-06-02,
קידום אורגני לעסקים קטנים,ai-geo,commercial,P1,organic-seo-geo-small-business.html,2026-09-03,
קידום במנועי AI,ai-geo,commercial,P2,geo-for-business.html,2026-08-24,
העסק לא מופיע ב-ChatGPT,ai-geo,informational,P2,why-your-business-isnt-in-chatgpt.html,2026-06-02,
בינה מלאכותית למיתוג,ai-geo,informational,P1,ai-branding-guide.html,2026-09-03,
AI לעסקים קטנים,ai-geo,informational,P1,ai-for-small-business-israel-2026.html,2026-05-19,
סוכן AI לעסק,ai-geo,commercial,P2,ai-agent-vs-chatbot-vs-automation.html,2026-06-02,
אוטומציה לעסקים קטנים,ai-geo,commercial,P2,brand-voice-automation.html,2026-08-24,
Claude Skills בעברית,ai-claude,informational,P2,claude-skills-hebrew-guide.html,2026-05-19,
סקילים ל-Claude Code,ai-claude,informational,P2,claude-code-skill-tutorial-hebrew.html,2026-05-19,
Claude Cowork,ai-claude,informational,P3,claude-cowork-hebrew.html,2026-06-02,
ChatGPT לעסקים,ai-claude,informational,P3,claude-cowork-hebrew.html,2026-08-24,
תוכן ממותג עם AI,ai-geo,informational,P2,ai-branded-content.html,2026-05-14,
עקביות מותג,ai-geo,informational,P3,brand-consistency-with-ai.html,2026-06-04,
Brand DNA,entity,brand-concept,P2,brand-dna-guide.html,2026-05-14,
מערכת הפעלה למותגים,entity,brand-concept,P2,what-is-brand-os.html,2026-05-14,
BrandOS,entity,brand,P1,brandos-custom.html,2026-05-14,
Brand Worlds Studio,entity,brand,P1,studio.html,2026-05-14,
חגית אנטבי,entity,brand,P1,about.html,2026-05-14,יש חגית אנטבי אחרת; ראי disambiguation
בניית מותג עסקי,money,commercial,P1,business-branding-guide.html,2026-09-05,השאילתה האמיתית: 71 הופעות/28 יום ב-baseline
בניית זהות מותג,money,commercial,P2,business-branding-guide.html,2026-09-05,31 הופעות ב-baseline
כתיבת תוכן עם AI,ai-geo,informational,P1,gpt-brand-content-hebrew.html,2026-09-05,השאילתה כתיבת תוכן ai: 36+ הופעות במיקום 10; ביקוש אמיתי
תוכן AI עם עריכה אנושית,ai-geo,informational,P2,ai-branded-content.html,2026-09-05,33 הופעות במיקום 61
סקילים לקלוד,ai-claude,informational,P1,claude-skills-hebrew-guide.html,2026-09-05,המנוע האמיתי של האתר: 444 הופעות / 17 קליקים
Claude Skills מול Agents,ai-claude,informational,P2,claude-skills-and-agents.html,2026-09-05,166 הופעות במיקום 6.6
תמונות AI בעברית,ai-claude,informational,P2,hebrew-ai-images-brand-typography.html,2026-09-05,77 הופעות
מיתוג לעולם הביוטי,vertical-beauty,commercial,P1,beauty-branding-guide.html,2026-09-05,פילר Q4 (מתוכנן 4-8.10)
השקת מותג קוסמטיקה,vertical-beauty,commercial,P1,beauty-branding-guide.html,2026-09-05,קלאסטר 1: SERP = מעבדות בלבד
מותג פרטי קוסמטיקה,vertical-beauty,commercial,P1,formula-not-brand.html,2026-09-05,ספוק 12.10 (מתוכנן)
איך להקים מותג טיפוח,vertical-beauty,informational,P1,skincare-brand-launch-decisions.html,2026-09-05,ספוק 19.10 (מתוכנן)
מיתוג לקוסמטיקאיות,vertical-beauty,commercial,P2,home-salon-to-beauty-brand.html,2026-09-05,קלאסטר 3: נכנסים דרך שיווק
מיתוג קליניקה אסתטית,vertical-beauty,commercial,P2,brand-world-clinical.html,2026-09-05,LP ב-noindex; החלטה C
מיצוב מותג,pricing,informational,P1,brand-positioning-saturated-market.html,2026-09-05,ויקיפדיה מדורגת = השטח פנוי; ספוק 2.11
איך להצדיק מחיר גבוה,pricing,informational,P1,same-product-triple-price.html,2026-09-05,ספוק 26.10 (מתוכנן)
בידול,pricing,informational,P2,brand-positioning-saturated-market.html,2026-09-05,
קנבה מול מיתוג מקצועי,diy,informational,P2,canva-vs-professional-branding.html,2026-09-05,קלאסטר 4: SERP = DIY בלבד; ספוק 16.11
האם שווה להשקיע במיתוג,diy,informational,P2,canva-vs-professional-branding.html,2026-09-05,
מה ההבדל בין לוגו למיתוג,definitions,informational,P2,branding-vs-marketing-vs-design.html,2026-09-05,ספוק 23.11 (מתוכנן)
מיתוג מול שיווק,definitions,informational,P2,branding-vs-marketing-vs-design.html,2026-09-05,
ספר מותג,definitions,commercial,P2,brand-book-inside.html,2026-09-05,אף אחד לא מראה ספר אמיתי; ספוק 14.12
